latitude,longitude,height,distance,sum_distance,slope,date,utm_x,utm_y,velocidad_gps,consumo_total,consumo_inst,ds,velocidad
-3.494433,-79.173645,2654.6,26.526675706931503,4575.126723451728,0.0,12:13:34,702886.5870477945,9613558.210444523,48.62,3093.09,12.45,2,13.263337853465751
-3.494263,-79.173813,2654.6,26.50514794277052,4601.631871394498,0.0,12:13:36,702867.9544390246,9613577.047077846,48.21,3093.1,12.75,2,13.25257397138526
-3.494091,-79.173988,2654.6,27.213093889050263,4628.844965283549,0.0,12:13:38,702848.5443720706,9613596.106396249,48.28,3093.1,13.2,2,13.606546944525132
-3.493922,-79.174156,2654.6,26.42678985557117,4655.27175513912,0.0,12:13:40,702829.9115347964,9613614.83242523,48.11,3093.11,12.85,2,13.213394927785584
-3.493759,-79.174339,2654.6,27.18538681476214,4682.457141953882,0.0,12:13:42,702809.6105134198,9613632.898143582,47.99,3093.12,13.25,2,13.59269340738107
-3.493617,-79.17453,2654.6,26.41293759850592,4708.870079552387,0.0,12:13:44,702788.4159677338,9613648.643185563,47.74,3093.13,12.7,2,13.20646879925296
-3.493517,-79.174744,2654.6,26.23666359745103,4735.106743149839,0.0,12:13:46,702764.6565012103,9613659.74839308,47.67,3093.14,12.25,2,13.118331798725515
-3.493451,-79.174973,2654.6,26.48393991417052,4761.590683064009,0.0,12:13:48,702739.2228428314,9613667.096761337,47.69,3093.14,12.7,2,13.24196995708526
-3.493397,-79.175209,2654.6,26.907097902811355,4788.49778096682,0.0,12:13:50,702713.0087263498,9613673.11954912,48.08,3093.15,13.1,2,13.453548951405677
-3.493346,-79.175438,2654.6,26.075402661668416,4814.573183628489,0.0,12:13:52,702687.5718473059,9613678.809048256,48.1,3093.16,13.05,2,13.037701330834208
-3.493309,-79.175682,2654.6,27.431773257325215,4842.004956885814,0.0,12:13:54,702660.465075704,9613682.953512263,47.86,3093.17,11.9,2,13.715886628662608
-3.493324,-79.175919,2654.6,26.399069391066146,4868.40402627688,0.0,12:13:56,702634.1250273301,9613681.345770061,48.0,3093.18,12.9,2,13.199534695533073
-3.493419,-79.176132,2688.0,25.906709358240224,4894.31073563512,1.2892413134428613,12:13:58,702610.4348368814,9613670.885634685,48.0,3093.18,15.4,2,12.953354679120112
-3.493595,-79.176315,2689.3,28.15958112709811,4922.470316762218,0.04616545942685153,12:14:00,702590.061047435,9613651.461226812,48.0,3093.19,14.65,2,14.079790563549055
-3.502505,-79.179062,2795.2,1031.5707623575656,5954.041079119784,0.10265897780776023,12:15:30,702282.8873288499,9612666.696324388,52.99,3093.55,13.2,90,11.461897359528507
-3.502754,-79.179153,2797.4,29.345027265704424,5983.386106385488,0.07497011265589847,12:15:32,702272.7215096464,9612639.179058088,52.99,3093.56,13.65,2,14.672513632852212
-3.503144,-79.179115,2797.4,43.34640128993249,6026.7325076754205,0.0,12:15:35,702276.8604642228,9612596.04076035,52.52,3093.56,13.15,3,14.448800429977496
-3.50337,-79.178978,2797.4,29.27503130229853,6056.007538977719,0.0,12:15:37,702292.0359646973,9612571.017846001,52.13,3093.57,13.8,2,14.637515651149265
-3.503543,-79.17878,2797.4,29.16743087195975,6085.174969849679,0.0,12:15:39,702314.0014374184,9612551.843024407,51.76,3093.58,13.4,2,14.583715435979874
-3.503682,-79.178551,2797.4,29.74007807372965,6114.915047923409,0.0,12:15:41,702339.4190685464,9612536.421559816,51.87,3093.59,12.75,2,14.870039036864824
-3.503814,-79.178329,2797.4,28.675171553812525,6143.590219477221,0.0,12:15:43,702364.060327668,9612521.775727334,51.84,3093.59,12.5,2,14.337585776906263
-3.503949,-79.178101,2797.4,29.417991442822217,6173.008210920043,0.0,12:15:45,702389.3676836274,9612506.796818994,51.73,3093.6,12.8,2,14.708995721411108
-3.50409,-79.177887,2797.4,28.44711481291081,6201.4553257329535,0.0,12:15:47,702413.1180017481,9612491.157385243,52.19,3093.61,13.35,2,14.223557406455406
-3.504247,-79.177673,2797.4,29.454577742823687,6230.909903475777,0.0,12:15:49,702436.8648733009,9612473.74850102,53.08,3093.61,13.45,2,14.727288871411844
-3.50442,-79.177467,2797.4,29.84399223656065,6260.753895712338,0.0,12:15:51,702459.7193010238,9612454.571894797,54.28,3093.63,15.1,2,14.921996118280324
-3.504604,-79.177254,2797.4,31.224001164091703,6291.977896876429,0.0,12:15:53,702483.3492256834,9612434.177274691,56.78,3093.63,16.75,2,15.612000582045852
-3.504797,-79.17704,2797.4,31.964403501379635,6323.942300377809,0.0,12:15:55,702507.0883296629,9612412.787117016,58.95,3093.64,18.45,2,15.982201750689818
